beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
Freya's Choice,Seven Tribesmen Brewery,Pale Ale - American,5.3,10,kind of a lighter hop gambit from this place. sweet and hoppy but not too hoppy. it may be freya’s choice but it’s also mine 🤪,Seven Tribesmen Brewery,Wayne,NJ,United States,40.9229,-74.2691,4,3/27/2021 13:41,https://untappd.com/c/1010227366,https://untappd.com/beer/4225933,https://untappd.com/brewery/459629,United States,Wayne,NJ,fruity,,Can,1010227366,4225933,459629,https://untappd.s3.amazonaws.com/photos/2021_03_27/c58d76dc6656e10cd4dbecd7cfe16756_raw.jpg,3.94,3.76,,0,0
Dragan Stout,Seven Tribesmen Brewery,Stout - Irish Dry,4.6,40,nice toasty toasty taste. didn’t have coffee yet so the taste is making me feel something. i don’t have a pun for this one so just enjoy the post,Seven Tribesmen Brewery,Wayne,NJ,United States,40.9229,-74.2691,4,3/27/2021 14:02,https://untappd.com/c/1010245809,https://untappd.com/beer/3727283,https://untappd.com/brewery/459629,United States,Wayne,NJ,"malty,roasty,coffee",,Draft,1010245809,3727283,459629,https://untappd.s3.amazonaws.com/photos/2021_03_27/2abd9516cbac86f9354163dea1844040_raw.jpg,3.82,3.76,,0,0
Rickey Nelson,Redemption Rock Brewing Co.,Sour - Fruited,4.2,0,funky sour. limey and tart and the dry hops give it some subtle bitterness. this is niceeee,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,4,4/2/2021 22:47,https://untappd.com/c/1012688092,https://untappd.com/beer/4246589,https://untappd.com/brewery/419372,United States,Worcester,MA,"sour,Lime,Berries",,Crowler,1012688092,4246589,419372,https://untappd.s3.amazonaws.com/photos/2021_04_03/f428bdf78de7f344d5f7456555bcd9b5_raw.jpg,3.87,3.74,,3,0
The Bees,Redemption Rock Brewing Co.,Wheat Beer - Other,4.5,11,definitely has those wheat beer notes. has a zip just like a bee sting 🤪,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,3.75,4/2/2021 23:23,https://untappd.com/c/1012699876,https://untappd.com/beer/3139964,https://untappd.com/brewery/419372,United States,Worcester,MA,"grainy,honey,Hazy",,Can,1012699876,3139964,419372,https://untappd.s3.amazonaws.com/photos/2021_04_03/48ed0249ac9c755e5e4aeda2a876e4c9_raw.jpg,3.55,3.63,,2,0
The Birds,Redemption Rock Brewing Co.,IPA - Imperial / Double New England,8.3,0,light for a double. just like a bird haha,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,4,4/3/2021 22:52,https://untappd.com/c/1013356410,https://untappd.com/beer/3740784,https://untappd.com/brewery/419372,United States,Worcester,MA,"aromatic,tropical,hoppy",,Can,1013356410,3740784,419372,https://untappd.s3.amazonaws.com/photos/2021_04_04/4efc6f37932aedb11549e81714b889ea_raw.jpg,3.86,3.75,,3,0
Smithwick's,Guinness,Red Ale - Irish,4.5,0,malty but kind of lighter than I was hoping. Still refreshing though.,Thatcher McGhee's,Pompton Lakes,NJ,United States,41.0076,-74.2951,3.25,4/5/2021 20:51,https://untappd.com/c/1014041156,https://untappd.com/beer/13388,https://untappd.com/brewery/49,Ireland,Saint James' Gate,Leinster,"malty,light,dark",,Draft,1014041156,13388,49,https://untappd.s3.amazonaws.com/photos/2021_04_06/1722a37c2c2c6e78a959f317dcbe59be_raw.jpg,3.54,3.54,,1,0
Pines Lake Pils,Seven Tribesmen Brewery,Pilsner - German,5.5,33,nice malty refreshing pils.,Seven Tribesmen Brewery,Wayne,NJ,United States,40.9229,-74.2691,4.25,4/10/2021 17:41,https://untappd.com/c/1015758633,https://untappd.com/beer/4225945,https://untappd.com/brewery/459629,United States,Wayne,NJ,"malty,clean,refreshing",,Draft,1015758633,4225945,459629,https://untappd.s3.amazonaws.com/photos/2021_04_10/7995ec6e5011bef5907f15596314ec0d_raw.jpg,3.74,3.71,,2,0
Tiramisu Milk Porter,Czig Meister,Porter - Other,5.2,0,tiramisu is my favorite dessert so I was very excited for this. the coffee and chocolate taste is there but was hoping for a little more sweetness/vanilla/milky taste. nice and roasty toasty. would drink again though.,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,3.5,4/17/2021 23:30,https://untappd.com/c/1018407836,https://untappd.com/beer/2507448,https://untappd.com/brewery/228703,United States,Hackettstown,NJ,"smooth,coffee,chocolate",,Can,1018407836,2507448,228703,https://untappd.s3.amazonaws.com/photos/2021_04_18/678df3182168321d3a31e104332afa1f_raw.jpg,3.76,3.76,,0,0
Sea Chant,Seven Tribesmen Brewery,Sour - Fruited,5.8,8,the sweetness from the guava is subtle and compliments the tart clean sour taste well. im CHANTING for how good this is,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,3.75,4/23/2021 22:52,https://untappd.com/c/1020173480,https://untappd.com/beer/4265286,https://untappd.com/brewery/459629,United States,Wayne,NJ,"fruity,tart,Guava",,Crowler,1020173480,4265286,459629,https://untappd.s3.amazonaws.com/photos/2021_04_24/57064247feb72233c7f3b5367f09f8a9_raw.jpg,3.89,3.77,,1,0
Grapefruit Crushin' It,Cape May Brewing Co.,IPA - American,8,15,"like the orange crushin it, but grapefruit. Pleasantly bitter and citrusy",Untappd at Home,,Everywhere,United States,34.2347,-77.9482,4,4/28/2021 21:48,https://untappd.com/c/1021945214,https://untappd.com/beer/3531960,https://untappd.com/brewery/13805,United States,Cape May,NJ,"citrusy,grapefruity,sharp",,Can,1021945214,3531960,13805,https://untappd.s3.amazonaws.com/photos/2021_04_29/064e4a18d497b33a6a57abf14e1f6c0a_raw.jpg,3.77,3.76,,0,0
